"DATASET","DATASET_ACRONYM","RECORD_ID","MUNICIPALITY","STATE","STATE_ACRONYM","COUNTRY","ID_CODLOC","HABITAT","LATITUDE_Y","LONGITUDE_X","PRECISION","REGIONAL_NAME_OF_STUDY_SITE","EPIPHYTE_GROUP","EPIPHYTE_FAMILY","EPIPHYTE_GENUS","EPIPHYTE_EPITHET","EPIPHYTE_SPECIES","EPIPHYTE_HABITAT","FOROPHYTE_FAMILY","FOROPHYTE_GENERA","FOROPHYTE_EPITHET","FOROPYHYTE_SPECIES","YEAR_START","YEAR_FINISH","DATA_TYPE","ALTITUDE","ANNUAL_RAINFALL","ANNUAL_TEMPERATURE","VEGETATION_TYPE","ATLANTIC_FOREST_LIMIT","OBS"
"ACLA_00050","ACLA","50","JUIZ DE FORA","MATO GROSSO DO SUL","MS","Brazil",NA,"Urban Area",-21.73222,-43.36972,"100","Mata do Krambeck","Angiosperms","Bromeliaceae","Billbergia","horrida","Billbergia horrida","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2017,"2018","Abundance",689,1519,23.2000007629395,"Seasonal Forest","YES",NA
"APAD_00011","APAD","E011","BOM REPOUSO","MATO GROSSO DO SUL","MS","Brazil",NA,"Forest Fragment in Agriculture Matrix",-22.496286,-46.1841,"Study site","Garcias","Angiosperms","Orchidaceae","Gomesa","widgrenii","Gomesa widgrenii","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2003,"2013","Presence_only",1522,1791,17.5,"Ombrophilous Forest","YES","20 individuos amostrados no fragmento"
"CBOE_00065","CBOE","Tree11","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO1","Mixed Ombrophilous Forest",-29.405985,-50.389234,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Ferns","Polypodiaceae","Microgramma","squamulosa","Microgramma squamulosa","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2086,19.6000003814697,"Savanna","YES",NA
"CBOE_00066","CBOE","Tree11","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO1","Mixed Ombrophilous Forest",-29.405985,-50.389234,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Ferns","Polypodiaceae","Pleopeltis","pleopeltidis","Pleopeltis pleopeltidis","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2086,19.6000003814697,"Savanna","YES",NA
"CBOE_00068","CBOE","Tree11","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO1","Mixed Ombrophilous Forest",-29.405985,-50.389234,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Angiosperms","Bromeliaceae","Tillandsia","aeranthos","Tillandsia aeranthos","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2086,19.6000003814697,"Savanna","YES",NA
"CBOE_00069","CBOE","Tree11","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO1","Mixed Ombrophilous Forest",-29.405985,-50.389234,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Angiosperms","Orchidaceae","Octomeria","sancti-angeli","Octomeria sancti-angeli","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2086,19.6000003814697,"Savanna","YES",NA
"CBOE_00070","CBOE","Tree11","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO1","Mixed Ombrophilous Forest",-29.405985,-50.389234,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Ferns","Polypodiaceae","Campyloneurum","austrobrasilianum","Campyloneurum austrobrasilianum","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2086,19.6000003814697,"Savanna","YES",NA
"CBOE_00180","CBOE","Tree30","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO2","Mixed Ombrophilous Forest",-29.408905,-50.38645,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Angiosperms","Bromeliaceae","Tillandsia","aeranthos","Tillandsia aeranthos","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2088,19.6000003814697,"Savanna","YES",NA
"CBOE_00181","CBOE","Tree30","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO2","Mixed Ombrophilous Forest",-29.408905,-50.38645,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Ferns","Polypodiaceae","Pleopeltis","pleopeltidis","Pleopeltis pleopeltidis","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2088,19.6000003814697,"Savanna","YES",NA
"CBOE_00182","CBOE","Tree31","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO2","Mixed Ombrophilous Forest",-29.408905,-50.38645,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Angiosperms","Bromeliaceae","Tillandsia","aeranthos","Tillandsia aeranthos","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2088,19.6000003814697,"Savanna","YES",NA
"CBOE_00184","CBOE","Tree31","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO2","Mixed Ombrophilous Forest",-29.408905,-50.38645,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Ferns","Polypodiaceae","Microgramma","squamulosa","Microgramma squamulosa","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2088,19.6000003814697,"Savanna","YES",NA
"CBOE_00185","CBOE","Tree31","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO2","Mixed Ombrophilous Forest",-29.408905,-50.38645,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Angiosperms","Piperaceae","Peperomia","tetraphylla","Peperomia tetraphylla","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2088,19.6000003814697,"Savanna","YES",NA
"CBOE_00209","CBOE","Tree38","SAO FRANCISCO DE PAULA","RIO GRANDE DO SUL","RS","Brazil","FO2","Mixed Ombrophilous Forest",-29.408905,-50.38645,"Central point in study site","Floresta Nacional de Sao Francisco de Paula.","Angiosperms","Bromeliaceae","Tillandsia","aeranthos","Tillandsia aeranthos","holoepiphyte","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",2007,"2007","Abundance",917,2088,19.6000003814697,"Savanna","YES",NA
