species,decimalLongitude.new1,decimalLatitude.new1,States,Biome,Endemism,Inside_State,Inside_Biome,Inside_BR,catalogNumber,data_source,species_id,scientificName.new1,decimalLatitude,decimalLongitude,decimalLatitude.new,decimalLongitude.new,country,country.new,stateProvince.new,municipality.new,locality.new,year.new,family.new1,geo.check,geo.check1,Flagging,cult.check,loc.check1,recordedBy.new,identifiedBy.new,resol.orig,resolution.gazetteer1,Filters_ok,Country_Capital,Province_centroid,IdenticalLongLat,GBIFheadquarter,Biod_inst,Outside_coord,zero_coord,Duplicated,shore,open_sea,wrong_country,Checar_Local,Ano,Filtrador
Araucaria angustifolia,-51.157494,-29.582904,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,145841060,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.582904,-51.157494,-29.582904,-51.157494,Brazil,brazil,rio grande do sul,no.info,ivoti  br rs  br,2023,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,Gnomecannon,"Ristow, R.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-51.464253,-25.348725,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,149970185,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.348725,-51.464253,-25.348725,-51.464253,Brazil,brazil,parana,no.info,parque natural municipal das araucarias  guarapuava  pr  br,2023,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Silverio, A.","Silverio, A.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-51.36,-25.14,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,"",gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.14,-51.36,-25.14,-51.36,Brazil,brazil,"",no.info,"",2022,Araucariaceae,ok_country,ok_country,Checar_local,"",ok_same_resolution,s.n.,s.n.,country,country,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-49.36,-25.51,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,"",gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.51,-49.36,-25.51,-49.36,Brazil,brazil,"",no.info,"",2022,Araucariaceae,ok_country,ok_country,Checar_local,"",ok_same_resolution,s.n.,s.n.,country,country,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-49.063939,-25.846987,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110369646,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.846987,-49.063939,-25.846987,-49.063939,Brazil,brazil,parana,no.info,henrique herwig  tijucas do sul  pr  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Monsores, D.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.172947,-29.354728,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110450739,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.354728,-50.172947,-29.354728,-50.172947,Brazil,brazil,rio grande do sul,no.info,rs 486  itati  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Abreu, M.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.875255,-29.378297,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110515351,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.378297,-50.875255,-29.378297,-50.875255,Brazil,brazil,rio grande do sul,no.info,rua augusto zatti  gramado  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Monsores, D.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.871563,-29.382725,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110633760,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.382725,-50.871563,-29.382725,-50.871563,Brazil,brazil,rio grande do sul,no.info,praca das etnias  gramado  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Friske, T.Q.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-51.08591738,-26.76334511,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,MBM002982,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,0,0,-26.76334511,-51.08591738,Brazil,brazil,santa catarina,cacador,rio do bugre,2017-05-222018-11-082016-06-072017-05-222016-03-22,Araucariaceae,ok_county_gazet,ok_county_gazet,Checar_local,"",check_local.2municip.,"Reitz, R.","Reitz, R.",locality,county,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-55.53,-27.32,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,"","",,11699,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-27.32,-55.53,-27.32,-55.53,Argentina,argentina,misiones,no.info,loreto,2017-05-222018-11-082016-06-072017-05-222016-03-22,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Albov, N.M.",s.n.,locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
