"","species_id","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","elevation","elevationAccuracy","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","license","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","recordNumber","identifier.1","locality","municipality","collectionCode","gbifID","language","occurrenceID","type","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","name","networkKeys","institutionKey","collectionKey","otherCatalogNumbers","dynamicProperties","county","references","http...unknown.org.nick","verbatimEventDate","verbatimLocality","taxonID","eventTime","identificationRemarks","http...unknown.org.captive","identificationID","fieldNotes","bibliographicCitation","gadm","datasetID","habitat","institutionID","taxonConceptID","associatedSequences","preparations","nomenclaturalCode","georeferenceProtocol","endDayOfYear","startDayOfYear","collectionID","georeferenceSources","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","http...unknown.org.recordID","rights","http...unknown.org.recordEnteredBy","higherClassification","higherGeography","accessRights","identificationQualifier","individualCount","georeferenceRemarks","eventID","associatedTaxa","disposition","locationID","reproductiveCondition","fieldNumber","previousIdentifications","verbatimElevation","organismID","recordedByIDs.type","recordedByIDs.value","establishmentMeans","eventRemarks","georeferencedDate","verbatimCoordinateSystem","nomenclaturalStatus","typeStatus","locationRemarks","typifiedName","footprintSRS","verbatimIdentification","download"
"1","Calibrachoa paranensis","4170018147","Calibrachoa paranensis (Dusén) Wijsman","-25.205278","-50.013056","cdc,cdround,gass84,ambinst","121275a3-dcce-44f4-9868-37326e9f64ef","d254f613-d4dd-4553-9fe3-b9485ca28371","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","8595cd50-87c0-11dc-bb35-b8a03c50a862","BR","EML","2023-09-28T02:24:02.175+00:00","2023-09-28T02:26:46.023+00:00","381","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2023-04-19T00:00:00","850","50","SOUTH_AMERICA","Paraná","2023","2","8","2023-02-08T00:00:00","2023-07-27T14:59:16.000+00:00","2023-09-28T02:26:46.023+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","BRA:FLOR:FLOR:75069","none","none",TRUE,"FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","Fernandez, E.P.","Gomes, M.","WGS84","Magnoliopsida","BR","none","none","Brazil","FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","1274","BRA:FLOR:FLOR:75069","Reserva Particular de Patrimônio Natural Meia Lua. Borda da escarpa, na estrada de acesso ao centro da reserva.","Ponta Grossa","FLOR","4170018147","pt","BRA:FLOR:FLOR:75069","Collection","75069","Universidade Federal de Santa Catarina","Universidade Federal de Santa Catarina","Arbusto com cerca de 0,5 metro de altura. Terrícola ou saxícola. Heliófila, comum. Folhas verdes concolores. Flores c/ pétalas liláses. (obs.: herborizado com álcool). Campos Rupestres. Projeto: GEF Pró Espécies: todos contra a extinção. Duplicata de RB 850338","Calibrachoa paranensis (Dusén) Wijsman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"2","Calibrachoa paranensis","4109990346","Calibrachoa paranensis (Dusén) Wijsman","-25.205278","-50.013056","cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2023-09-19T20:49:36.959+00:00","2023-09-19T21:08:42.959+00:00","473","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2023-04-19T00:00:00",NA,NA,"SOUTH_AMERICA","Paraná","2023","2","8","2023-02-08T00:00:00","2023-05-02T18:56:41.000+00:00","2023-09-19T21:08:42.959+00:00","http://creativecommons.org/licenses/by/4.0/legalcode","urn:catalog:JBRJ:RB:1489767","none","none",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","Eduardo Fernandez; G. Crispim; G.A. Queiroz","Mario Gomes","WGS84","Magnoliopsida","BR","none","none","Brazil","Rio de Janeiro Botanical Garden","1274","urn:catalog:JBRJ:RB:1489767","Borda da escarpa, na estrada de acesso ao centro da reserva. Campos Rupestres. RPPN Meia Lua","Ponta Grossa","RB","4109990346",NA,"urn:catalog:JBRJ:RB:1489767","Physical Object","RB01489767","JBRJ",NA,"Arbusto c/ cerca de 0,5 m, terrícola ou saxícola, heliófila, comum; folhas verdes concolores; flores c/ pétalas liláses. (obs.: herborizado com álcool)","Calibrachoa paranensis (Dusén) Wijsman","4b0d8edb-7504-42c4-9349-63e86c01bf97","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa","RB 850338","{""project"" : ""GEF Pro Espécies: todos contra a extinção""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"3","Calibrachoa paranensis","3756361528","Calibrachoa paranensis (Dusén) Wijsman","-25.78056","-50.15","cdc,gass84,ambcol,inmafu","aeb4640c-e649-43b9-bf5c-dc9c6ec7540e","f5fd374b-89cb-4ab6-b3eb-794c65f232c3","775151b2-7095-4e85-b145-0e9e7c35f0da","f5fd374b-89cb-4ab6-b3eb-794c65f232c3","BR","EML","2023-06-07T18:48:57.905+00:00","2023-09-07T09:54:02.349+00:00","265","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2022-01-01T00:00:00","1100",NA,"SOUTH_AMERICA","Paraná","2022","2","10","2022-02-10T00:00:00",NA,"2023-09-07T09:54:02.349+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","27113","none","none",FALSE,NA,"Kersten, R","Kersten, R","WGS84","Magnoliopsida","BR","none","none","Brazil",NA,"2158","27113",NA,NA,"HUCP","3756361528",NA,"27113",NA,"27229","PUCPR",NA,NA,"Calibrachoa paranensis (Dusén) Wijsman",NA,"15bb6ce6-a535-43e8-a57c-83e7ae914411",NA,NA,"{""barcode"":""HUCP00027229""}","Campo Largo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"4","Calibrachoa paranensis","3827974585","Calibrachoa paranensis (Dusén) Wijsman","-25.244722","-49.992222","cdc,cdround,gass84,ambinst","121275a3-dcce-44f4-9868-37326e9f64ef","d254f613-d4dd-4553-9fe3-b9485ca28371","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","8595cd50-87c0-11dc-bb35-b8a03c50a862","BR","EML","2023-09-28T02:24:02.175+00:00","2023-09-28T02:26:44.376+00:00","381","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2022-02-27T00:00:00","933",NA,"SOUTH_AMERICA","Paraná","2022","2","17","2022-02-17T00:00:00","2023-07-27T14:59:16.000+00:00","2023-09-28T02:26:44.376+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","BRA:FLOR:FLOR:70154","none","none",FALSE,"FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","Paula-Souza, J.; Iarmul, J.","Paula-Souza, J.","WGS84","Magnoliopsida","BR","none","none","Brazil","FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","12221","BRA:FLOR:FLOR:70154","Parque Estadual de Vila Velha. Caminho para Fortaleza.","Ponta Grossa","FLOR","3827974585","pt","BRA:FLOR:FLOR:70154","Collection","70154","Universidade Federal de Santa Catarina","Universidade Federal de Santa Catarina","Subarbusto, ca. 40cm alt. Flores róseo-arroxeadas com a fauce amarela internamente. Foto","Calibrachoa paranensis (Dusén) Wijsman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"5","Calibrachoa paranensis","4007897436","Calibrachoa paranensis (Dusén) Wijsman","-25.299703","-49.479681","gass84,colmafu,inmafu,diffown","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","8595cd50-87c0-11dc-bb35-b8a03c50a862","BR","EML","2023-09-12T18:38:25.106+00:00","2023-09-12T18:43:02.618+00:00","325","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2022-09-13T00:00:00","1050","0","SOUTH_AMERICA","Paraná","2022","9","11","2022-09-11T00:00:00","2023-06-05T15:10:16.000+00:00","2023-09-12T18:43:02.618+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","BRA:MBM:MBM:439825","none","none",FALSE,"MBM - Herbário do Museu Botânico Municipal","Marinero, F","Marinero, F","WGS84","Magnoliopsida","BR","none","none","Brazil","MBM - Herbário do Museu Botânico Municipal","2374","BRA:MBM:MBM:439825","Morro da Palha","Campo Magro","MBM","4007897436","pt","BRA:MBM:MBM:439825","Collection","439825","MBM","Museu Botânico Municipal de Curitiba","Subarbusto 40 cm; flores roxas.; Campo sujo seco com textura arenosa de quartzito.","Calibrachoa paranensis (Dusén) Wijsman",NA,"b745abcd-45b2-4a84-a327-9298e795dbfb","d3b42067-b567-4d47-a136-bb5d52ed32fc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"6","Calibrachoa paranensis","4009705367","Calibrachoa paranensis (Dusén) Wijsman","-25.171796","-49.968347","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2023-09-28T05:00:54.279+00:00","2023-09-28T11:38:42.463+00:00","399","HUMAN_OBSERVATION","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2022-12-14T19:50:16",NA,NA,"SOUTH_AMERICA","Paraná","2021","2","21","2021-02-21T17:17:00","2022-12-22T21:22:06.000+00:00","2023-09-28T11:38:42.463+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","74623577","none","none",FALSE,"iNaturalist research-grade observations","Rômulo Antunes Luz","Kai-Philipp Schablewski","WGS84","Magnoliopsida","BR","none","none","Brazil","Rômulo Antunes Luz",NA,"74623577",NA,NA,"Observations","4009705367",NA,"https://www.inaturalist.org/observations/74623577",NA,"74623577","iNaturalist",NA,"Buraco do Padre - Parque Nacional dos Campos Gerais","Calibrachoa paranensis (Dusén) Wijsman",NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/74623577","romulo_aluz","2021/02/21 5:17 PM -0300","Ponta Grossa - PR, Brasil","772059","17:17:00-03:00","I think... https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:947647-1","wild","320513685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"7","Calibrachoa paranensis","3127372875","Calibrachoa paranensis (Dusén) Wijsman","-25.473194","-49.640513","cdc,gass84,incomis,inmafu","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","8595cd50-87c0-11dc-bb35-b8a03c50a862","BR","EML","2023-09-22T21:49:14.656+00:00","2023-09-22T21:52:35.547+00:00","384","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2021-04-14T00:00:00","1193","0","SOUTH_AMERICA","Paraná","2021","4","10","2021-04-10T00:00:00","2022-07-26T14:27:16.000+00:00","2023-09-22T21:52:35.547+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","BRA:UFPR:EFC:19492","none","none",FALSE,"EFC - Herbário Escola de Florestas Curitiba","DALL AGNOL, R. T.","DALL AGNOL, R. T.","WGS84","Magnoliopsida","BR","none","none","Brazil","EFC - Herbário Escola de Florestas Curitiba","2008","BRA:UFPR:EFC:19492","São Luiz do Purunã - próx. ao Cristo do Purunã.","Balsa Nova","EFC","3127372875","pt","BRA:UFPR:EFC:19492","Collection","19492","Universidade Federal do Paraná","Universidade Federal do Paraná","Subarbusto prostrado, saxícola, c.a. 20 cm; tubo da corola amarelo com estrias vináceas, lobos róseos. Campo seco rupestre.","Calibrachoa paranensis (Dusén) Wijsman",NA,"ab06648f-c439-4400-95d8-679bb2cd9f6e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"8","Calibrachoa paranensis","4136303344","Calibrachoa paranensis (Dusén) Wijsman","-25.546833","-49.821861","gass84,colmafu,inmafu,diffown","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","8595cd50-87c0-11dc-bb35-b8a03c50a862","BR","EML","2023-09-12T18:38:25.106+00:00","2023-09-12T18:43:06.306+00:00","325","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2021-01-01T00:00:00",NA,NA,"SOUTH_AMERICA","Paraná","2021","10","27","2021-10-27T00:00:00","2023-06-05T15:10:16.000+00:00","2023-09-12T18:43:06.306+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","BRA:MBM:MBM:440092","none","none",FALSE,"MBM - Herbário do Museu Botânico Municipal","Lozano, ED; Burda, TM","Lozano, ED","WGS84","Magnoliopsida","BR","none","none","Brazil","MBM - Herbário do Museu Botânico Municipal","5272","BRA:MBM:MBM:440092","Próximo ao Rio Iguaçu, Área da futura PCH Cherobim","Porto Amazonas","MBM","4136303344","pt","BRA:MBM:MBM:440092","Collection","440092","MBM","Museu Botânico Municipal de Curitiba","Arbusto, 60 cm, flores liláses, em campo limpo.; Campos Gerais","Calibrachoa paranensis (Dusén) Wijsman",NA,"b745abcd-45b2-4a84-a327-9298e795dbfb","d3b42067-b567-4d47-a136-bb5d52ed32fc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"9","Calibrachoa paranensis","3695982415","Calibrachoa paranensis (Dusén) Wijsman","-25.470941","-49.7771","cdc,gass84,incomis,inmafu","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","8595cd50-87c0-11dc-bb35-b8a03c50a862","BR","EML","2023-09-22T21:49:14.656+00:00","2023-09-22T21:52:32.442+00:00","384","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE","2021-12-11T00:00:00","958","0","SOUTH_AMERICA","Paraná","2021","12","11","2021-12-11T00:00:00","2022-07-26T14:27:16.000+00:00","2023-09-22T21:52:32.442+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","BRA:UFPR:EFC:20917","none","none",FALSE,"EFC - Herbário Escola de Florestas Curitiba","Dall Agnol, R.T.; Batista, R.L.M.","Dall Agnol, R.T.","WGS84","Magnoliopsida","BR","none","none","Brazil","EFC - Herbário Escola de Florestas Curitiba","3538","BRA:UFPR:EFC:20917","São Luiz do Purunã - Vista Rio Lageado.","Porto Amazonas","EFC","3695982415","pt","BRA:UFPR:EFC:20917","Collection","20917","Universidade Federal do Paraná","Universidade Federal do Paraná","Arbusto densamente ramificado, ascendente, ca. 60 cm alt.; cálice vináceo-esverdeado; corola com tubo amarelado com nervuras vináceas; fauce e lobos magenta; frutos secos. Campo seco rupestre.","Calibrachoa paranensis (Dusén) Wijsman",NA,"ab06648f-c439-4400-95d8-679bb2cd9f6e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"10","Calibrachoa paranensis","3948548709","Calibrachoa paranensis (Dusén) Wijsman","-25.454722","-49.6575","cdc,cdround,gass84,colmafu,inmafu","a51fa32f-831d-49d6-8b8a-c7b52ae65b3b","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","8595cd50-87c0-11dc-bb35-b8a03c50a862","BR","EML","2023-07-25T19:48:43.092+00:00","2023-09-07T09:35:27.284+00:00","373","PRESERVED_SPECIMEN","PRESENT","3799417","6","7707728","220","1176","7717","8254205","3799417","3799417","Calibrachoa paranensis (Dusén) Wijsman","Plantae","Tracheophyta","Solanales","Solanaceae","Calibrachoa","Calibrachoa paranensis","Calibrachoa","paranensis","SPECIES","ACCEPTED","NE",NA,NA,NA,"SOUTH_AMERICA","Paraná","2020","8","6","2020-08-06T00:00:00","2023-06-16T17:52:52.000+00:00","2023-09-07T09:35:27.284+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","BRA:UFPR:UPCB:100718","none","none",FALSE,"UPCB - Herbário do Departamento de Botânica","Meyer, F.S.; Silva, J.M.|Ceolin, L.","Meyer, F.S.","WGS84","Magnoliopsida","BR","none","none","Brazil","UPCB - Herbário do Departamento de Botânica","2651","BRA:UFPR:UPCB:100718","APA Escarpa Devoniana, São Luiz do Purunã. Zona Amostral 01 - Caracterização Florística e Fitossociológica dos Campos Nativos no entorno da Lt 525 Kv, trecho entre Ponta Grossa – Bateias, C1 e C2 (STCP).","Campo Largo","UPCB","3948548709","pt","BRA:UFPR:UPCB:100718","Collection","100718","UFPR","Universidade Federal do Paraná","Subarbusto ca. 50 cm alt., próximo de afloramentos rochosos, em Estepe Gramíneo-lenhosa. Flores com pétalas tubulosas roxas (face abaxial), porção interna (face adaxial) do tubo amarela.","Calibrachoa paranensis (Dusén) Wijsman",NA,"ab06648f-c439-4400-95d8-679bb2cd9f6e","984ad7e0-f17d-4980-9d12-2c3c9509162e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
