"species"
"Andreadoxa flava"
"Angostura bracteata"
"Balfourodendron riedelianum"
"Conchocarpus adenantherus"
"Conchocarpus bellus"
"Conchocarpus cauliflorus"
"Conchocarpus cuneifolius"
"Conchocarpus dasyanthus"
"Conchocarpus diadematus"
"Conchocarpus elegans"
"Conchocarpus fissicalyx"
"Conchocarpus fontanesianus"
"Conchocarpus furcatus"
"Conchocarpus grandiflorus"
"Conchocarpus heterophyllus"
"Conchocarpus inopinatus"
"Conchocarpus longifolius"
"Conchocarpus longipes"
"Conchocarpus macrocarpus"
"Conchocarpus macrophyllus"
"Conchocarpus marginatus"
"Conchocarpus mastigophorus"
"Conchocarpus modestus"
"Conchocarpus obovatus"
"Conchocarpus odoratissimus"
"Conchocarpus oppositifolius"
"Conchocarpus ovatus"
"Conchocarpus paniculatus"
"Conchocarpus pentandrus"
"Conchocarpus punctatus"
"Conchocarpus santosii"
"Conchocarpus silvestris"
"Conchocarpus sordidus"
"Dictyoloma vandellianum"
"Ertela bahiensis"
"Ertela trifolia"
"Erythrochiton brasiliensis"
"Esenbeckia densiflora"
"Esenbeckia febrifuga"
"Esenbeckia grandiflora"
"Esenbeckia hieronymi"
"Esenbeckia leiocarpa"
"Esenbeckia pilocarpoides"
"Galipea carinata"
"Galipea jasminiflora"
"Galipea laxiflora"
"Galipea revoluta"
"Helietta apiculata"
"Hortia brasiliana"
"Metrodorea maracasana"
"Metrodorea nigra"
"Metrodorea stipularis"
"Neoraputia alba"
"Neoraputia magnifica"
"Neoraputia trifoliata"
"Pilocarpus giganteus"
"Pilocarpus grandiflorus"
"Pilocarpus jaborandi"
"Pilocarpus pauciflorus"
"Pilocarpus pennatifolius"
"Pilocarpus riedelianus"
"Pilocarpus spicatus"
"Rauia nodosa"
"Rauia resinosa"
"Raulinoa echinata"
"Ravenia infelix"
"Sigmatanthus trifoliatus"
"Zanthoxylum acuminatum"
"Zanthoxylum caribaeum"
"Zanthoxylum fagara"
"Zanthoxylum kleinii"
"Zanthoxylum monogynum"
"Zanthoxylum nemorale"
"Zanthoxylum petiolare"
"Zanthoxylum retusum"
"Zanthoxylum rhoifolium"
"Zanthoxylum riedelianum"
"Zanthoxylum tingoassuiba"
"Picrasma crenata"
"Simaba guianensis"
"Simarouba amara"
"Arthrocereus glaziovii"
"Arthrocereus melanurus"
"Brasiliopuntia brasiliensis"
"Cereus hildmannianus"
"Cereus insularis"
"Cipocereus laniflorus"
"Cipocereus minensis"
"Coleocephalocereus buxbaumianus"
"Coleocephalocereus fluminensis"
"Coleocephalocereus pluricostatus"
"Epiphyllum phyllanthus"
"Frailea castanea"
"Gymnocalycium denudatum"
"Hatiora herminiae"
"Hatiora salicornioides"
"Lepismium cruciforme"
"Lepismium houlletianum"
"Lepismium lumbricoides"
"Lepismium warmingianum"
"Melocactus ernestii"
"Melocactus violaceus"
"Opuntia monacantha"
"Parodia haselbergii"
"Parodia muricata"
"Parodia ottonis"
"Pereskia aculeata"
"Pereskia grandifolia"
"Pilosocereus arrabidae"
"Pilosocereus brasiliensis"
"Pilosocereus catingicola"
"Pilosocereus pentaedrophorus"
"Praecereus euchlorus"
"Rhipsalis agudoensis"
"Rhipsalis baccifera"
"Rhipsalis burchellii"
"Rhipsalis campos"
"Rhipsalis cereoides"
"Rhipsalis cereuscula"
"Rhipsalis clavata"
"Rhipsalis crispata"
"Rhipsalis dissimilis"
"Rhipsalis elliptica"
"Rhipsalis ewaldiana"
"Rhipsalis floccosa"
"Rhipsalis grandiflora"
"Rhipsalis hoelleri"
"Rhipsalis juengeri"
"Rhipsalis lindbergiana"
"Rhipsalis mesembryanthemoides"
"Rhipsalis neves"
"Rhipsalis oblonga"
"Rhipsalis olivifera"
"Rhipsalis pacheco"
"Rhipsalis pachyptera"
"Rhipsalis paradoxa"
"Rhipsalis pentaptera"
"Rhipsalis pilocarpa"
"Rhipsalis pulchra"
"Rhipsalis puniceodiscus"
"Rhipsalis russellii"
"Rhipsalis sulcata"
"Rhipsalis teres"
"Rhipsalis trigona"
"Schlumbergera kautskyi"
"Schlumbergera microsphaerica"
"Schlumbergera opuntioides"
"Schlumbergera orssichiana"
"Schlumbergera russelliana"
"Schlumbergera truncata"
"Fuchsia alpestris"
"Fuchsia bracelinae"
"Fuchsia brevilobis"
"Fuchsia campos"
"Fuchsia glazioviana"
"Fuchsia hatschbachii"
"Fuchsia regia"
"Ludwigia affinis"
"Ludwigia bullata"
"Ludwigia burchellii"
"Ludwigia caparosa"
"Ludwigia decurrens"
