"Local","species","country","locality","Estado","decimalLongitude","decimalLatitude","species.in.base","taxonomicStatus","species_id","collectionCode","catalogNumber","recordNumber","recordedBy","year","stateProvince","county","municipality","family","identifiedBy","dateIdentified","typeStatus","scientificName","scientificNameAuthorship","institutionCode"
"AtlAR001","Araucaria angustifolia","Argentina","Parque Cruce Caballero, bosque de araucária","Misiones",-53.985,-26.5192,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Misiones",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlAR016","Araucaria angustifolia","Argentina","Bernardo de Irigoyen, bosque semi-decíduo","Misiones",-53.95,-26.2078,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Misiones",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG071","Araucaria angustifolia","Brasil","Pico do Itacolomi, nanofloresta nebular","Minas Gerais",-43.4725,-20.4325,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG072","Araucaria angustifolia","Brasil","Alto Caparaó, Macieira, nanofloresta nebular","Minas Gerais",-41.8328,-20.4797,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG170","Araucaria angustifolia","Brasil","Bocaina de Minas, floresta nebular","Minas Gerais",-44.54,-22.2167,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG171","Araucaria angustifolia","Brasil","Wenceslau Brás, floresta nebular","Minas Gerais",-45.3575,-22.5439,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG172","Araucaria angustifolia","Brasil","Ibitipoca, Mata Grande, floresta nebular","Minas Gerais",-43.8853,-21.7081,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG173","Araucaria angustifolia","Brasil","Poços de Caldas, floresta nebular","Minas Gerais",-46.5564,-21.7725,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG174","Araucaria angustifolia","Brasil","Serra Negra, Ninho da Égua, floresta nebular","Minas Gerais",-43.89,-21.9689,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG175","Araucaria angustifolia","Brasil","Aiuruoca, Vale do Matutu, floresta nebular","Minas Gerais",-44.655,-22.0847,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG177","Araucaria angustifolia","Brasil","Itamonte, floresta nebular baixo-montana","Minas Gerais",-44.8197,-22.3608,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG179","Araucaria angustifolia","Brasil","Gonçalves, floresta nebular","Minas Gerais",-45.9008,-22.7469,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG180","Araucaria angustifolia","Brasil","Extrema, floresta nebular","Minas Gerais",-46.3483,-22.8958,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG186","Araucaria angustifolia","Brasil","Caldas, Pedra Branca, nanofloresta rupícola","Minas Gerais",-46.3697,-21.9789,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG191","Araucaria angustifolia","Brasil","Camanducaia, floresta nebular de araucária","Minas Gerais",-46.1003,-22.7508,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG192","Araucaria angustifolia","Brasil","Serra do Papagaio, oeste, floresta nebular de araucária","Minas Gerais",-44.7722,-22.1272,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG193","Araucaria angustifolia","Brasil","Serra do Papagaio, leste, floresta nebular de araucária","Minas Gerais",-44.7111,-22.1467,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG194","Araucaria angustifolia","Brasil","Campo Redondo, floresta nebular de araucária","Minas Gerais",-44.7078,-22.2664,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
"AtlMG195","Araucaria angustifolia","Brasil","Passa Quatro, floresta nebular de araucária","Minas Gerais",-45.0556,-22.4147,"Araucaria angustifolia","NOME_ACEITO","Araucaria angustifolia","NT",NA,NA,"NT",2018,"Minas Gerais",NA,NA,NA,NA,NA,NA,"Araucaria angustifolia",NA,"NeotropicTree"
