"","record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","class","order","infraspecificEpithet","continentOcean","maximumElevationInMeters","minimumElevationInMeters","fieldNumber","individualCount","typeStatus","preparationType","relationshipType","relatedCatalogItem","previousCatalogNumber"
"1","1","2023-05-16 16:10:37-03","PUCPR","HUCP","21641","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Kersten, RA","Kersten, RA","1532","2011","03","15","Brasil","Paraná","Fazenda Rio Grande","Fazenda Experimental Gralha Azul","-49.287778","-26.658333","-49.287778","-26.658333","HUCP00023875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","2022-08-18 09:01:26-03","PUCPR","HUCP","20321","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Selusniaki, M","Selusniaki, M","2830","2009","09","01","Brasil","Paraná","Araucária",NA,"-49.4103012084961","-25.5930995941162",NA,NA,"HUCP00023823","21346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","3","2022-08-18 09:01:26-03","PUCPR","HUCP","24925","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Ribeiro, EB","Santos, APM","s.n.","2016","11","10","Brasil","Paraná","Araucária","Escola Padre José Nunes","-49.4103012084961","-25.5930995941162",NA,NA,"HUCP00024925","21346","auto","2016","11","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","4","2023-05-26 08:23:26-03","PUCPR","HUCP","12502","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Carone, L","Carone, L","019","2000","05","23","Brasil","Paraná","Bocaiúva do Sul",NA,"-49.1150016784668","-25.2061004638672",NA,NA,"HUCP00023809","61623","auto",NA,NA,NA,"Feminina.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","5","2022-08-18 09:01:26-03","PUCPR","HUCP","321","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Jaszczerski, JC","Marino, F","025",NA,NA,NA,"Brasil","Paraná","Colombo","Embrapa","-49.2242012023926","-25.2917003631592",NA,NA,NA,"13536","auto","1985","07","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","6","2023-05-26 08:23:26-03","PUCPR","HUCP","206","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Marina, F","Marina, F","025",NA,NA,NA,"Brasil","Paraná","Colombo","Embrapa","-49.2242012023926","-25.2917003631592",NA,NA,"HUCP00023941","13536","auto","1985","08","20","Árvore masculina nativa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","7","2022-08-18 09:01:26-03","PUCPR","HUCP","15639","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Selusniaki, M","Marques, L","003","2004","04","14","Brasil","Paraná","Curitiba","Água Verde","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00023861","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","8","2022-08-18 09:01:26-03","PUCPR","HUCP","23476","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Dunaiski Jr., A","Dunaiski Jr., A","3942","2009","11","15","Brasil","Paraná","Curitiba","Ahú","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00023577","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","9","2022-08-18 09:01:26-03","PUCPR","HUCP","26374","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Hartmann, A","Hartmann, A","9","2016","11","14","Brasil","Paraná","Curitiba","bairro Portão","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00026374","25180","auto","2016","11","24","Coletada da árvore.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","10","2023-05-26 08:23:26-03","PUCPR","HUCP","5634","S","Plantae","Pinidae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Miq.","Jaszczerski, JC","Tomé, F","004","1990","06","23","Brasil","Paraná","Curitiba","Boqueirão","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00023993","25180","auto",NA,NA,NA,"Arbórea mais ou menso 30m alt.; Terrestre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
