catalogNumber,data_source,species_id,species,scientificName.new1,decimalLatitude,decimalLongitude,decimalLatitude.new,decimalLongitude.new,decimalLatitude.new1,decimalLongitude.new1,country,country.new,stateProvince.new,municipality.new,locality.new,year.new,family.new1,geo.check,geo.check1,cult.check,loc.check1,recordedBy.new,identifiedBy.new,resol.orig,resolution.gazetteer1
145841060,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.582904,-51.157494,-29.582904,-51.157494,-29.582904,-51.157494,Brazil,brazil,rio grande do sul,no.info,ivoti  br rs  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Gnomecannon,"Ristow, R.",locality,state
147134479,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-28.444145,-50.024535,-28.444145,-50.024535,-28.444145,-50.024535,Brazil,brazil,santa catarina,no.info,sao joaquim  sc  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Mailhos, S.","Mailhos, S.",locality,state
148109677,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-23.457291,-46.772035,-23.457291,-46.772035,-23.457291,-46.772035,Brazil,brazil,sao paulo,no.info,parque estadual do jaragua  sao paulo   sp  02675 031  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Maria, N.C.","Benedito, A.",locality,state
155420612,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-20.344183,-40.676112,-20.344183,-40.676112,-20.344183,-40.676112,Brazil,brazil,espirito santo,no.info,domingos martins   state of espirito santo  29260 000  brazil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Silva, R.A.","Silva, R.A.",locality,state
148065660,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.496319,-48.981167,-25.496319,-48.981167,-25.496319,-48.981167,Brazil,brazil,parana,no.info,carvalho,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,Marina,Marina,locality,state
148151677,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.551132,-54.508694,-25.551132,-54.508694,-25.551132,-54.508694,Brazil,brazil,parana,no.info,foz do iguacu  pr  brasil,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Vilela, F.","Vilela, F.",locality,state
149144198,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-27.018258,-50.9268,-27.018258,-50.9268,-27.018258,-50.9268,Brazil,brazil,santa catarina,no.info,fraiburgo  sc  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Ambrozio, A.","Ambrozio, A.",locality,state
149144588,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-27.015767,-50.925322,-27.015767,-50.925322,-27.015767,-50.925322,Brazil,brazil,santa catarina,no.info,fraiburgo  sc  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Ambrozio, A.","Ambrozio, A.",locality,state
149673561,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-21.718944,-43.925216,-21.718944,-43.925216,-21.718944,-43.925216,Brazil,brazil,minas gerais,no.info,conceicao do ibitipoca,2023,Araucariaceae,ok_county,ok_county,,ok_same_resolution,Yuri,"Carvalho, P.G.",locality,locality
149970185,gbif,Araucaria angustifolia,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-25.348725,-51.464253,-25.348725,-51.464253,-25.348725,-51.464253,Brazil,brazil,parana,no.info,parque natural municipal das araucarias  guarapuava  pr  br,2023,Araucariaceae,ok_state,ok_state,,check_local.2state,"Silverio, A.","Silverio, A.",locality,state
